Far field
"Plane Wave Phi"[deg]	"1Blade_SEP_lam8_Carbide [dBsm]"	"1Blade_SEP_lam16_Carbide [dBsm]"	"1Blade_SEP_lam20_Carbide [dBsm]"	"1Blade_SEP_lam25_Carbide [dBsm]"	"1Blade_SEP_lam32_Carbide [dBsm]"	"1Blade_SEP_lam40_Carbide [dBsm]"	"1Blade_SEP_lam64_Carbide [dBsm]"	"1Blade_SEP_lam80_Carbide [dBsm]"	"1Blade_SEP_lam120_Carbide [dBsm]"	
-1.16000000E+02	-4.74258498E+01	-4.84049611E+01	-4.86512542E+01	-4.91288904E+01	-4.89826383E+01	-4.86966963E+01	-4.83201376E+01	-4.82971855E+01	-4.82699107E+01	
-1.15000000E+02	-4.73987254E+01	-4.85557174E+01	-4.86305032E+01	-4.91970183E+01	-4.91115482E+01	-4.88136260E+01	-4.84879732E+01	-4.84740513E+01	-4.84580009E+01	
-1.14000000E+02	-4.73366706E+01	-4.86055642E+01	-4.85551406E+01	-4.91980399E+01	-4.91476341E+01	-4.88279516E+01	-4.85573715E+01	-4.85549743E+01	-4.85541845E+01	
-1.13000000E+02	-4.72725069E+01	-4.85712118E+01	-4.84755181E+01	-4.91788409E+01	-4.91237114E+01	-4.87660166E+01	-4.85409048E+01	-4.85503094E+01	-4.85661475E+01	
-1.12000000E+02	-4.72461874E+01	-4.84900995E+01	-4.84505125E+01	-4.91993348E+01	-4.90901551E+01	-4.86730581E+01	-4.84724916E+01	-4.84911786E+01	-4.85226156E+01	
-1.11000000E+02	-4.73004780E+01	-4.84089302E+01	-4.85410986E+01	-4.93235188E+01	-4.91020944E+01	-4.86001452E+01	-4.83970478E+01	-4.84210150E+01	-4.84644850E+01	
-1.10000000E+02	-4.74794369E+01	-4.83726130E+01	-4.88100280E+01	-4.96159883E+01	-4.92097069E+01	-4.85933303E+01	-4.83587734E+01	-4.83831994E+01	-4.84345029E+01	
-1.09000000E+02	-4.78300104E+01	-4.84157375E+01	-4.93278007E+01	-5.01441811E+01	-4.94512826E+01	-4.86864646E+01	-4.83929191E+01	-4.84129619E+01	-4.84679338E+01	
-1.08000000E+02	-4.84072021E+01	-4.85567737E+01	-5.01870192E+01	-5.09832470E+01	-4.98456020E+01	-4.88951170E+01	-4.85195692E+01	-4.85312920E+01	-4.85862123E+01	
-1.07000000E+02	-4.92838653E+01	-4.87901368E+01	-5.15308373E+01	-5.22157187E+01	-5.03738056E+01	-4.92063450E+01	-4.87355161E+01	-4.87365542E+01	-4.87892299E+01	
-1.06000000E+02	-5.05700268E+01	-4.90732742E+01	-5.36205910E+01	-5.38854576E+01	-5.09384839E+01	-4.95591151E+01	-4.90033350E+01	-4.89945490E+01	-4.90455109E+01	
-1.05000000E+02	-5.24549523E+01	-4.93083411E+01	-5.70201251E+01	-5.57105884E+01	-5.13052637E+01	-4.98187138E+01	-4.92344816E+01	-4.92225735E+01	-4.92758067E+01	
-1.04000000E+02	-5.53107624E+01	-4.93379919E+01	-6.27927246E+01	-5.62756971E+01	-5.11257190E+01	-4.97789598E+01	-4.92838612E+01	-4.92832042E+01	-4.93475404E+01	
-1.03000000E+02	-5.98953017E+01	-4.89974639E+01	-6.23093491E+01	-5.43069264E+01	-5.02037831E+01	-4.92588806E+01	-4.89916678E+01	-4.90202944E+01	-4.91063760E+01	
-1.02000000E+02	-6.40806113E+01	-4.82257355E+01	-5.55709883E+01	-5.13579186E+01	-4.87265862E+01	-4.82551120E+01	-4.82846295E+01	-4.83542328E+01	-4.84671195E+01	
-1.01000000E+02	-5.84006920E+01	-4.71197838E+01	-5.12067416E+01	-4.86541963E+01	-4.70457524E+01	-4.69458848E+01	-4.72379102E+01	-4.73463795E+01	-4.74827308E+01	
-1.00000000E+02	-5.35050458E+01	-4.58544142E+01	-4.81551338E+01	-4.63970552E+01	-4.54055916E+01	-4.55420445E+01	-4.60139513E+01	-4.61503926E+01	-4.63014533E+01	
-9.90000000E+01	-5.02079318E+01	-4.45792669E+01	-4.58555253E+01	-4.45363370E+01	-4.39153565E+01	-4.41868366E+01	-4.47626049E+01	-4.49154320E+01	-4.50733903E+01	
-9.80000000E+01	-4.78163679E+01	-4.33853465E+01	-4.40522755E+01	-4.30012384E+01	-4.26092748E+01	-4.29527772E+01	-4.35800428E+01	-4.37405913E+01	-4.38999901E+01	
-9.70000000E+01	-4.60009121E+01	-4.23176081E+01	-4.26116837E+01	-4.17360406E+01	-4.14903860E+01	-4.18691614E+01	-4.25159354E+01	-4.26785019E+01	-4.28359636E+01	
-9.60000000E+01	-4.45948939E+01	-4.13942696E+01	-4.14562330E+01	-4.07005385E+01	-4.05511407E+01	-4.09439758E+01	-4.15916073E+01	-4.17530371E+01	-4.19066297E+01	
-9.50000000E+01	-4.35049461E+01	-4.06203449E+01	-4.05376607E+01	-3.98662159E+01	-3.97815162E+01	-4.01762061E+01	-4.08141667E+01	-4.09724847E+01	-4.11211399E+01	
