Far field
"Plane Wave Phi"[deg]	"1Blade_SEP_lam8_Carbide [dBsm]"	"1Blade_SEP_lam16_Carbide [dBsm]"	"1Blade_SEP_lam20_Carbide [dBsm]"	"1Blade_SEP_lam25_Carbide [dBsm]"	"1Blade_SEP_lam32_Carbide [dBsm]"	"1Blade_SEP_lam40_Carbide [dBsm]"	"1Blade_SEP_lam64_Carbide [dBsm]"	"1Blade_SEP_lam80_Carbide [dBsm]"	"1Blade_SEP_lam120_Carbide [dBsm]"	
-1.34000000E+02	-2.62471398E+01	-2.52677322E+01	-2.56304033E+01	-2.55358879E+01	-2.54375387E+01	-2.53828284E+01	-2.52053739E+01	-2.51436726E+01	-2.50515517E+01	
-1.33000000E+02	-2.76541866E+01	-2.66677000E+01	-2.70407931E+01	-2.69419017E+01	-2.68390977E+01	-2.67843860E+01	-2.66045798E+01	-2.65418235E+01	-2.64467968E+01	
-1.32000000E+02	-2.93942726E+01	-2.83642463E+01	-2.87747460E+01	-2.86650685E+01	-2.85502526E+01	-2.84904194E+01	-2.82958561E+01	-2.82276654E+01	-2.81253743E+01	
-1.31000000E+02	-3.15938143E+01	-3.04548601E+01	-3.09571180E+01	-3.08243161E+01	-3.06824364E+01	-3.06064832E+01	-3.03724514E+01	-3.02909143E+01	-3.01703159E+01	
-1.30000000E+02	-3.44786006E+01	-3.30989485E+01	-3.38225459E+01	-3.36386595E+01	-3.34338557E+01	-3.33154555E+01	-3.29822642E+01	-3.28671594E+01	-3.27061987E+01	
-1.29000000E+02	-3.84865947E+01	-3.65665578E+01	-3.79064948E+01	-3.75901451E+01	-3.72084453E+01	-3.69669715E+01	-3.63555294E+01	-3.61577172E+01	-3.58964310E+01	
-1.28000000E+02	-4.41443934E+01	-4.11664155E+01	-4.50383219E+01	-4.41447209E+01	-4.29617329E+01	-4.22272109E+01	-4.06604950E+01	-4.02281236E+01	-3.97141284E+01	
-1.27000000E+02	-4.55706631E+01	-4.48368983E+01	-6.16072813E+01	-5.54636743E+01	-4.94876457E+01	-4.73171701E+01	-4.38666155E+01	-4.31385315E+01	-4.23552501E+01	
-1.26000000E+02	-4.08344346E+01	-4.23512121E+01	-4.39289432E+01	-4.42788326E+01	-4.37711292E+01	-4.33328678E+01	-4.18662334E+01	-4.14904710E+01	-4.10537394E+01	
-1.25000000E+02	-3.76523075E+01	-3.92604375E+01	-3.93022983E+01	-3.96377061E+01	-3.96165637E+01	-3.95858663E+01	-3.90764616E+01	-3.89393963E+01	-3.87630355E+01	
-1.24000000E+02	-3.57878432E+01	-3.74036051E+01	-3.70132952E+01	-3.73388851E+01	-3.74286549E+01	-3.75138523E+01	-3.73335337E+01	-3.72941550E+01	-3.72298120E+01	
-1.23000000E+02	-3.47977376E+01	-3.65324240E+01	-3.58940156E+01	-3.62357605E+01	-3.63828710E+01	-3.65332846E+01	-3.65235606E+01	-3.65377461E+01	-3.65364789E+01	
-1.22000000E+02	-3.44951983E+01	-3.64923626E+01	-3.56118395E+01	-3.59960478E+01	-3.61961543E+01	-3.64083658E+01	-3.65307050E+01	-3.65898367E+01	-3.66395921E+01	
-1.21000000E+02	-3.48407826E+01	-3.73126194E+01	-3.61058541E+01	-3.65686925E+01	-3.68381783E+01	-3.71327494E+01	-3.74039267E+01	-3.75167625E+01	-3.76271049E+01	
-1.20000000E+02	-3.59182420E+01	-3.92699925E+01	-3.75120037E+01	-3.81191214E+01	-3.85021903E+01	-3.89376303E+01	-3.94472568E+01	-3.96508497E+01	-3.98655296E+01	
-1.19000000E+02	-3.79934478E+01	-4.32596830E+01	-4.02867385E+01	-4.11925410E+01	-4.18079594E+01	-4.25655229E+01	-4.36544544E+01	-4.40935758E+01	-4.45960882E+01	
-1.18000000E+02	-4.17089480E+01	-5.12997515E+01	-4.56312794E+01	-4.70931481E+01	-4.80869841E+01	-4.96199249E+01	-5.23464025E+01	-5.33558021E+01	-5.45918737E+01	
-1.17000000E+02	-4.69132755E+01	-4.41235126E+01	-4.73933707E+01	-4.61098372E+01	-4.52896716E+01	-4.47159041E+01	-4.38018269E+01	-4.34303055E+01	-4.30339484E+01	
