Far field
"Plane Wave Phi"[deg]	"1Blade_SEP_lam8_Carbide [dBsm]"	"1Blade_SEP_lam16_Carbide [dBsm]"	"1Blade_SEP_lam20_Carbide [dBsm]"	"1Blade_SEP_lam25_Carbide [dBsm]"	"1Blade_SEP_lam32_Carbide [dBsm]"	"1Blade_SEP_lam40_Carbide [dBsm]"	"1Blade_SEP_lam64_Carbide [dBsm]"	"1Blade_SEP_lam80_Carbide [dBsm]"	"1Blade_SEP_lam120_Carbide [dBsm]"	
-1.31000000E+02	-5.26208916E+01	-5.10681107E+01	-5.22788749E+01	-5.18607686E+01	-5.13048199E+01	-5.11928586E+01	-5.10281244E+01	-5.09355140E+01	-5.08499262E+01	
-1.30000000E+02	-5.28512658E+01	-5.13064334E+01	-5.24921522E+01	-5.20710454E+01	-5.15289685E+01	-5.14195669E+01	-5.12729065E+01	-5.11887800E+01	-5.11171551E+01	
-1.29000000E+02	-5.31588905E+01	-5.16328930E+01	-5.27852788E+01	-5.23622153E+01	-5.18369406E+01	-5.17318871E+01	-5.16083801E+01	-5.15340465E+01	-5.14770335E+01	
-1.28000000E+02	-5.35562322E+01	-5.20659437E+01	-5.31728102E+01	-5.27497369E+01	-5.22451772E+01	-5.21474455E+01	-5.20520156E+01	-5.19894742E+01	-5.19490041E+01	
-1.27000000E+02	-5.40598863E+01	-5.26292967E+01	-5.36738193E+01	-5.32534499E+01	-5.27748452E+01	-5.26887671E+01	-5.26293199E+01	-5.25807099E+01	-5.25597357E+01	
-1.26000000E+02	-5.46916475E+01	-5.33548980E+01	-5.43130510E+01	-5.38997355E+01	-5.34547918E+01	-5.33856657E+01	-5.33732291E+01	-5.33418058E+01	-5.33437717E+01	
-1.25000000E+02	-5.54814489E+01	-5.42872144E+01	-5.51243274E+01	-5.47247994E+01	-5.43245077E+01	-5.42802413E+01	-5.43298612E+01	-5.43205607E+01	-5.43517693E+01	
-1.24000000E+02	-5.64698891E+01	-5.54922189E+01	-5.61531927E+01	-5.57796338E+01	-5.54411305E+01	-5.54334879E+01	-5.55684434E+01	-5.55877069E+01	-5.56574027E+01	
-1.23000000E+02	-5.77145259E+01	-5.70734207E+01	-5.74644131E+01	-5.71399425E+01	-5.68933793E+01	-5.69399504E+01	-5.71985099E+01	-5.72575115E+01	-5.73814046E+01	
-1.22000000E+02	-5.92961546E+01	-5.92072553E+01	-5.91478112E+01	-5.89223545E+01	-5.88269249E+01	-5.89589264E+01	-5.94075720E+01	-5.95262794E+01	-5.97319840E+01	
-1.21000000E+02	-6.13190199E+01	-6.22080900E+01	-6.13073136E+01	-6.13069735E+01	-6.14981682E+01	-6.17710196E+01	-6.25344830E+01	-6.27379250E+01	-6.30709055E+01	
-1.20000000E+02	-6.38352789E+01	-6.64395535E+01	-6.39009893E+01	-6.44701665E+01	-6.52995323E+01	-6.57671514E+01	-6.68923632E+01	-6.70981406E+01	-6.74527116E+01	
-1.19000000E+02	-6.62888645E+01	-6.87704900E+01	-6.58363562E+01	-6.74473669E+01	-6.91213419E+01	-6.90323051E+01	-6.84764076E+01	-6.79694377E+01	-6.74472112E+01	
-1.18000000E+02	-6.63671234E+01	-6.43962619E+01	-6.47248454E+01	-6.60493649E+01	-6.63303798E+01	-6.53875590E+01	-6.38212374E+01	-6.32788887E+01	-6.26985405E+01	
-1.17000000E+02	-6.37498061E+01	-6.02290550E+01	-6.17891286E+01	-6.22792444E+01	-6.18310172E+01	-6.10337693E+01	-5.97833440E+01	-5.93786597E+01	-5.89342367E+01	
-1.16000000E+02	-6.08667448E+01	-5.72120978E+01	-5.90241172E+01	-5.91158851E+01	-5.85198038E+01	-5.78647934E+01	-5.68567659E+01	-5.65366920E+01	-5.61804792E+01	
-1.15000000E+02	-5.84659287E+01	-5.49338179E+01	-5.67635325E+01	-5.66722782E+01	-5.60558494E+01	-5.54900225E+01	-5.46364115E+01	-5.43683599E+01	-5.40676102E+01	
-1.14000000E+02	-5.65252655E+01	-5.31374704E+01	-5.49275689E+01	-5.47423570E+01	-5.41366025E+01	-5.36298897E+01	-5.28785547E+01	-5.26457357E+01	-5.23828913E+01	
-1.13000000E+02	-5.49397993E+01	-5.16779305E+01	-5.34163825E+01	-5.31774583E+01	-5.25909621E+01	-5.21259553E+01	-5.14463412E+01	-5.12388384E+01	-5.10029011E+01	
-1.12000000E+02	-5.36249797E+01	-5.04673012E+01	-5.21544253E+01	-5.18826684E+01	-5.13173445E+01	-5.08831506E+01	-5.02556897E+01	-5.00675576E+01	-4.98517708E+01	
-1.11000000E+02	-5.25200166E+01	-4.94484930E+01	-5.10881744E+01	-5.07948612E+01	-5.02505723E+01	-4.98406037E+01	-4.92524739E+01	-4.90790520E+01	-4.88782656E+01	
-1.10000000E+02	-5.15809024E+01	-4.85815928E+01	-5.01783342E+01	-4.98701760E+01	-4.93461662E+01	-4.89558409E+01	-4.83969886E+01	-4.82355613E+01	-4.80466915E+01	
-1.09000000E+02	-5.07750131E+01	-4.78378337E+01	-4.93958691E+01	-4.90770535E+01	-4.85723114E+01	-4.81983698E+01	-4.76630818E+01	-4.75102383E+01	-4.73307150E+01	
-1.08000000E+02	-5.00776855E+01	-4.71956425E+01	-4.87188026E+01	-4.83919279E+01	-4.79050954E+01	-4.75456272E+01	-4.70277263E+01	-4.68829370E+01	-4.67107947E+01	
-1.07000000E+02	-4.94703782E+01	-4.66391783E+01	-4.81304700E+01	-4.77972197E+01	-4.73271848E+01	-4.69807221E+01	-4.64767117E+01	-4.63382095E+01	-4.61723883E+01	
-1.06000000E+02	-4.89395964E+01	-4.61568977E+01	-4.76189468E+01	-4.72803819E+01	-4.68258249E+01	-4.64914537E+01	-4.59993094E+01	-4.58657550E+01	-4.57053328E+01	
-1.05000000E+02	-4.84764245E+01	-4.57415001E+01	-4.71759894E+01	-4.68330109E+01	-4.63926719E+01	-4.60697073E+01	-4.55878683E+01	-4.54586285E+01	-4.53030506E+01	
-1.04000000E+02	-4.80761842E+01	-4.53890801E+01	-4.67974552E+01	-4.64504930E+01	-4.60231906E+01	-4.57111521E+01	-4.52391028E+01	-4.51136519E+01	-4.49625960E+01	
