Far field
"Plane Wave Phi"[deg]	"2Blades_SEP_lam80_Carbide [dBsm]"	"2Blades_SEP_lam8_Carbide [dBsm]"	"2Blades_SEP_lam16_Carbide [dBsm]"	"2Blades_SEP_lam20_Carbide [dBsm]"	"2Blades_SEP_lam32_Carbide [dBsm]"	"2Blades_SEP_lam40_Carbide [dBsm]"	"2Blades_SEP_lam64_Carbide [dBsm]"	
-1.12000000E+02	-3.72028548E+01	-4.00804769E+01	-4.01620128E+01	-4.07842058E+01	-3.94937029E+01	-3.88225107E+01	-3.75721214E+01	
-1.11000000E+02	-4.15887655E+01	-3.94006370E+01	-4.18476356E+01	-4.30234437E+01	-4.31855199E+01	-4.28873898E+01	-4.18967034E+01	
-1.10000000E+02	-6.20695064E+01	-3.86220628E+01	-4.29752534E+01	-4.40006663E+01	-4.81436261E+01	-5.04277060E+01	-5.70677892E+01	
-1.09000000E+02	-3.93344353E+01	-3.52624041E+01	-3.74980005E+01	-3.74974767E+01	-3.84767747E+01	-3.87861457E+01	-3.92653815E+01	
-1.08000000E+02	-3.27348561E+01	-3.12124397E+01	-3.22828969E+01	-3.22251353E+01	-3.25617788E+01	-3.26422117E+01	-3.27388835E+01	
-1.07000000E+02	-2.90356394E+01	-2.80645876E+01	-2.87834613E+01	-2.87725618E+01	-2.89796230E+01	-2.90158665E+01	-2.90449893E+01	
-1.06000000E+02	-2.68079482E+01	-2.59501454E+01	-2.65652251E+01	-2.66000867E+01	-2.67822378E+01	-2.68045649E+01	-2.68149096E+01	
-1.05000000E+02	-2.56385796E+01	-2.47739964E+01	-2.53741108E+01	-2.54484137E+01	-2.56336823E+01	-2.56470761E+01	-2.56452525E+01	
-1.04000000E+02	-2.53880576E+01	-2.44784184E+01	-2.51075471E+01	-2.52191487E+01	-2.54173790E+01	-2.54191916E+01	-2.53985860E+01	
-1.03000000E+02	-2.60289572E+01	-2.50589433E+01	-2.57493258E+01	-2.59034123E+01	-2.61210290E+01	-2.61041018E+01	-2.60504388E+01	
-1.02000000E+02	-2.75516454E+01	-2.65120882E+01	-2.72887546E+01	-2.75015818E+01	-2.77525365E+01	-2.77042933E+01	-2.75943263E+01	
-1.01000000E+02	-2.97021227E+01	-2.85819864E+01	-2.94174430E+01	-2.97183096E+01	-3.00460412E+01	-2.99556880E+01	-2.97767982E+01	
-1.00000000E+02	-3.13423790E+01	-3.00723478E+01	-3.07751095E+01	-3.11535475E+01	-3.16468609E+01	-3.15628680E+01	-3.14220621E+01	
-9.90000000E+01	-3.13338457E+01	-2.97363873E+01	-3.02363310E+01	-3.06222976E+01	-3.12943247E+01	-3.13038440E+01	-3.13556415E+01	
-9.80000000E+01	-3.08310463E+01	-2.88187177E+01	-2.92679890E+01	-2.96776241E+01	-3.05206619E+01	-3.06156490E+01	-3.08049115E+01	
-9.70000000E+01	-3.03502370E+01	-2.83136162E+01	-2.86217011E+01	-2.90513493E+01	-2.99926327E+01	-3.01438711E+01	-3.03284549E+01	
-9.60000000E+01	-2.79201898E+01	-2.72297809E+01	-2.70154425E+01	-2.72892784E+01	-2.78571958E+01	-2.79686225E+01	-2.79569153E+01	
-9.50000000E+01	-2.36421996E+01	-2.42479385E+01	-2.36323788E+01	-2.36919059E+01	-2.37896790E+01	-2.38234180E+01	-2.37006865E+01	
-9.40000000E+01	-1.96725810E+01	-2.06065826E+01	-1.99753145E+01	-1.99467447E+01	-1.98626181E+01	-1.98594986E+01	-1.97265423E+01	
-9.30000000E+01	-1.65923454E+01	-1.75205621E+01	-1.69752156E+01	-1.69232241E+01	-1.67845890E+01	-1.67648297E+01	-1.66396315E+01	
-9.20000000E+01	-1.43553791E+01	-1.52244019E+01	-1.47605850E+01	-1.47042336E+01	-1.45468971E+01	-1.45170621E+01	-1.43980811E+01	
-9.10000000E+01	-1.28637385E+01	-1.36831982E+01	-1.32824745E+01	-1.32263885E+01	-1.30586154E+01	-1.30204037E+01	-1.29036508E+01	
-9.00000000E+01	-1.20578319E+01	-1.28485215E+01	-1.24958157E+01	-1.24401748E+01	-1.22615407E+01	-1.22148752E+01	-1.20965993E+01	
-8.90000000E+01	-1.19260473E+01	-1.27092424E+01	-1.23948273E+01	-1.23383754E+01	-1.21448876E+01	-1.20885945E+01	-1.19650060E+01	
-8.80000000E+01	-1.25133743E+01	-1.33092082E+01	-1.30295212E+01	-1.29705547E+01	-1.27554752E+01	-1.26871124E+01	-1.25535466E+01	
-8.70000000E+01	-1.39509381E+01	-1.47784010E+01	-1.45404621E+01	-1.44773131E+01	-1.42300584E+01	-1.41447025E+01	-1.39940735E+01	
-8.60000000E+01	-1.65552491E+01	-1.74210712E+01	-1.72638350E+01	-1.71974118E+01	-1.69001711E+01	-1.67871515E+01	-1.66047391E+01	
-8.50000000E+01	-2.12207174E+01	-2.19883574E+01	-2.21271345E+01	-2.20864227E+01	-2.17190409E+01	-2.15470930E+01	-2.12877078E+01	
-8.40000000E+01	-3.28108543E+01	-2.93856193E+01	-3.21566291E+01	-3.30990578E+01	-3.40880892E+01	-3.37420915E+01	-3.30185732E+01	
-8.30000000E+01	-2.88667087E+01	-2.59887347E+01	-2.66921524E+01	-2.70963497E+01	-2.81723106E+01	-2.85113837E+01	-2.88263606E+01	
-8.20000000E+01	-2.16922805E+01	-2.12685307E+01	-2.12023464E+01	-2.12850133E+01	-2.15305949E+01	-2.16214574E+01	-2.16888047E+01	
-8.10000000E+01	-1.90648075E+01	-1.92126157E+01	-1.89817016E+01	-1.89843924E+01	-1.90349629E+01	-1.90654665E+01	-1.90712683E+01	
-8.00000000E+01	-1.83430018E+01	-1.87914124E+01	-1.84759913E+01	-1.84314162E+01	-1.83785484E+01	-1.83774271E+01	-1.83537959E+01	
-7.90000000E+01	-1.90033726E+01	-1.96987179E+01	-1.93069614E+01	-1.92182300E+01	-1.90815712E+01	-1.90568742E+01	-1.90154671E+01	
-7.80000000E+01	-2.09982378E+01	-2.19370971E+01	-2.14633143E+01	-2.13257620E+01	-2.11035768E+01	-2.10578602E+01	-2.10080906E+01	
-7.70000000E+01	-2.42132342E+01	-2.51456512E+01	-2.47029106E+01	-2.45600156E+01	-2.42964843E+01	-2.42448804E+01	-2.42128542E+01	
-7.60000000E+01	-2.58231570E+01	-2.56563151E+01	-2.56967894E+01	-2.57776578E+01	-2.57792407E+01	-2.57927272E+01	-2.58143726E+01	
-7.50000000E+01	-2.29105057E+01	-2.25040458E+01	-2.26469210E+01	-2.27889435E+01	-2.29004124E+01	-2.29307501E+01	-2.29202591E+01	
-7.40000000E+01	-1.99862927E+01	-1.98825377E+01	-1.99277258E+01	-2.00114505E+01	-2.00518291E+01	-2.00576528E+01	-2.00073601E+01	
-7.30000000E+01	-1.82299251E+01	-1.83999529E+01	-1.83607671E+01	-1.83871380E+01	-1.83527500E+01	-1.83359339E+01	-1.82573383E+01	
-7.20000000E+01	-1.74535378E+01	-1.78603571E+01	-1.77548010E+01	-1.77285472E+01	-1.76267140E+01	-1.75897300E+01	-1.74863136E+01	
-7.10000000E+01	-1.74849141E+01	-1.81195544E+01	-1.79573085E+01	-1.78772854E+01	-1.77096487E+01	-1.76527052E+01	-1.75234267E+01	
-7.00000000E+01	-1.82415128E+01	-1.91173402E+01	-1.89031555E+01	-1.87629276E+01	-1.85253662E+01	-1.84464411E+01	-1.82866493E+01	
-6.90000000E+01	-1.97035801E+01	-2.08558637E+01	-2.05937941E+01	-2.03814881E+01	-2.00636728E+01	-1.99574140E+01	-1.97575689E+01	
-6.80000000E+01	-2.18662678E+01	-2.33590438E+01	-2.30627008E+01	-2.27610077E+01	-2.23431466E+01	-2.21966685E+01	-2.19345020E+01	
-6.70000000E+01	-2.45366810E+01	-2.64515754E+01	-2.61815082E+01	-2.57803995E+01	-2.52331121E+01	-2.50149753E+01	-2.46346126E+01	
-6.60000000E+01	-2.66072349E+01	-2.88208655E+01	-2.87270697E+01	-2.83091155E+01	-2.76614947E+01	-2.73345479E+01	-2.67644716E+01	
-6.50000000E+01	-2.63558956E+01	-2.84211928E+01	-2.84360567E+01	-2.81281589E+01	-2.75484700E+01	-2.71936953E+01	-2.65513854E+01	
-6.40000000E+01	-2.47610302E+01	-2.66924658E+01	-2.66384419E+01	-2.63557248E+01	-2.58509772E+01	-2.55400670E+01	-2.49534995E+01	
-6.30000000E+01	-2.33658153E+01	-2.52733445E+01	-2.51464873E+01	-2.48384764E+01	-2.43621737E+01	-2.40851483E+01	-2.35486032E+01	
-6.20000000E+01	-2.25350029E+01	-2.44152905E+01	-2.42427854E+01	-2.39152253E+01	-2.34611095E+01	-2.32086404E+01	-2.27089765E+01	
-6.10000000E+01	-2.22540481E+01	-2.40557567E+01	-2.38544842E+01	-2.35297238E+01	-2.31082809E+01	-2.28801952E+01	-2.24173493E+01	
-6.00000000E+01	-2.24700271E+01	-2.41398317E+01	-2.39121838E+01	-2.36148798E+01	-2.32373069E+01	-2.30374191E+01	-2.26195266E+01	
-5.90000000E+01	-2.31529540E+01	-2.46626179E+01	-2.43950769E+01	-2.41456206E+01	-2.38146563E+01	-2.36470163E+01	-2.32842416E+01	
-5.80000000E+01	-2.43004153E+01	-2.56701443E+01	-2.53299512E+01	-2.51408361E+01	-2.48445073E+01	-2.47100526E+01	-2.44088391E+01	
-5.70000000E+01	-2.59347001E+01	-2.72669300E+01	-2.67922798E+01	-2.66655331E+01	-2.63674605E+01	-2.62605274E+01	-2.60187244E+01	
-5.60000000E+01	-2.81006950E+01	-2.96538469E+01	-2.89216670E+01	-2.88448690E+01	-2.84666377E+01	-2.83689944E+01	-2.81634495E+01	
-5.50000000E+01	-3.08362692E+01	-3.32443433E+01	-3.19510901E+01	-3.18861207E+01	-3.12616585E+01	-3.11298481E+01	-3.08932935E+01	
-5.40000000E+01	-3.39681578E+01	-3.88690894E+01	-3.60506848E+01	-3.59193478E+01	-3.47323961E+01	-3.44789008E+01	-3.40609848E+01	
-5.30000000E+01	-3.62244499E+01	-4.26507983E+01	-3.88508425E+01	-3.87967441E+01	-3.73871332E+01	-3.70284890E+01	-3.63807302E+01	
-5.20000000E+01	-3.54971273E+01	-3.72072159E+01	-3.61033585E+01	-3.64000006E+01	-3.61163680E+01	-3.59946782E+01	-3.56057968E+01	
-5.10000000E+01	-3.30723068E+01	-3.34042520E+01	-3.27877306E+01	-3.31583056E+01	-3.32426684E+01	-3.32655827E+01	-3.31181397E+01	
-5.00000000E+01	-3.06603066E+01	-3.10460729E+01	-3.04179775E+01	-3.07545368E+01	-3.07859618E+01	-3.08155226E+01	-3.06979176E+01	
-4.90000000E+01	-2.85998317E+01	-2.94207660E+01	-2.87123775E+01	-2.89677570E+01	-2.88455806E+01	-2.88350966E+01	-2.86566198E+01	
-4.80000000E+01	-2.68919427E+01	-2.81841274E+01	-2.74245089E+01	-2.75724758E+01	-2.72919867E+01	-2.72326746E+01	-2.69744339E+01	
-4.70000000E+01	-2.55131259E+01	-2.71794930E+01	-2.64224717E+01	-2.64544692E+01	-2.60443500E+01	-2.59436479E+01	-2.56175283E+01	
-4.60000000E+01	-2.44477260E+01	-2.63596407E+01	-2.56519485E+01	-2.55732033E+01	-2.50690247E+01	-2.49390554E+01	-2.45668491E+01	
-4.50000000E+01	-2.36846163E+01	-2.57380991E+01	-2.51051069E+01	-2.49283798E+01	-2.43574088E+01	-2.42093538E+01	-2.38114772E+01	
-4.40000000E+01	-2.32166580E+01	-2.53545535E+01	-2.47999497E+01	-2.45379029E+01	-2.39134539E+01	-2.37547375E+01	-2.33461378E+01	
-4.30000000E+01	-2.30417124E+01	-2.52571564E+01	-2.47694494E+01	-2.44296080E+01	-2.37488270E+01	-2.35824098E+01	-2.31707678E+01	
-4.20000000E+01	-2.31654575E+01	-2.55008777E+01	-2.50589789E+01	-2.46398417E+01	-2.38829828E+01	-2.37073568E+01	-2.32927970E+01	
-4.10000000E+01	-2.36018390E+01	-2.61562499E+01	-2.57319717E+01	-2.52181093E+01	-2.43446868E+01	-2.41533837E+01	-2.37284890E+01	
-4.00000000E+01	-2.43680619E+01	-2.73279108E+01	-2.68792712E+01	-2.62322374E+01	-2.51697038E+01	-2.49503657E+01	-2.44974461E+01	
-3.90000000E+01	-2.54584477E+01	-2.91797659E+01	-2.86192162E+01	-2.77570051E+01	-2.63771575E+01	-2.61100182E+01	-2.55976535E+01	
-3.80000000E+01	-2.67405540E+01	-3.19013282E+01	-3.09720180E+01	-2.97495196E+01	-2.78606555E+01	-2.75203678E+01	-2.69012392E+01	
-3.70000000E+01	-2.76874110E+01	-3.48362323E+01	-3.29291384E+01	-3.14015463E+01	-2.90310405E+01	-2.86256814E+01	-2.78794771E+01	
-3.60000000E+01	-2.73482346E+01	-3.38633693E+01	-3.16611955E+01	-3.06452063E+01	-2.86712249E+01	-2.83083804E+01	-2.75551734E+01	
-3.50000000E+01	-2.55997264E+01	-2.99572995E+01	-2.83495212E+01	-2.78731304E+01	-2.66751854E+01	-2.64208394E+01	-2.57927805E+01	
-3.40000000E+01	-2.33649691E+01	-2.66037934E+01	-2.53221493E+01	-2.50395132E+01	-2.42483448E+01	-2.40604994E+01	-2.35390052E+01	
-3.30000000E+01	-2.12593825E+01	-2.40543302E+01	-2.29126556E+01	-2.26861087E+01	-2.20509344E+01	-2.18879371E+01	-2.14217506E+01	
-3.20000000E+01	-1.94500626E+01	-2.20958920E+01	-2.10114708E+01	-2.07956597E+01	-2.02092335E+01	-2.00506687E+01	-1.96076456E+01	
-3.10000000E+01	-1.79421027E+01	-2.05688476E+01	-1.95029115E+01	-1.92818921E+01	-1.86992816E+01	-1.85359438E+01	-1.80985193E+01	
-3.00000000E+01	-1.67027169E+01	-1.93714392E+01	-1.83046400E+01	-1.80726504E+01	-1.74741888E+01	-1.73018906E+01	-1.68607008E+01	
-2.90000000E+01	-1.56990113E+01	-1.84376220E+01	-1.73599204E+01	-1.71149923E+01	-1.64921268E+01	-1.63090374E+01	-1.58593853E+01	
-2.80000000E+01	-1.49006615E+01	-1.77222574E+01	-1.66286915E+01	-1.63704500E+01	-1.57197371E+01	-1.55251518E+01	-1.50643031E+01	
-2.70000000E+01	-1.42839802E+01	-1.71933211E+01	-1.60817096E+01	-1.58104622E+01	-1.51309904E+01	-1.49248090E+01	-1.44513162E+01	
-2.60000000E+01	-1.38301677E+01	-1.68270293E+01	-1.56969166E+01	-1.54132282E+01	-1.47054068E+01	-1.44878214E+01	-1.40012107E+01	
-2.50000000E+01	-1.35234246E+01	-1.66052087E+01	-1.54570979E+01	-1.51617147E+01	-1.44265405E+01	-1.41979965E+01	-1.36983633E+01	
-2.40000000E+01	-1.33509800E+01	-1.65133785E+01	-1.53484660E+01	-1.50421085E+01	-1.42810147E+01	-1.40420112E+01	-1.35297154E+01	
-2.30000000E+01	-1.33017983E+01	-1.65397992E+01	-1.53596765E+01	-1.50430909E+01	-1.42576307E+01	-1.40087454E+01	-1.34843001E+01	
-2.20000000E+01	-1.33672381E+01	-1.66745481E+01	-1.54811749E+01	-1.51551025E+01	-1.43468863E+01	-1.40887252E+01	-1.35527084E+01	
-2.10000000E+01	-1.35386151E+01	-1.69091143E+01	-1.57047110E+01	-1.53698455E+01	-1.45405662E+01	-1.42737584E+01	-1.37271626E+01	
-2.00000000E+01	-1.38091390E+01	-1.72359474E+01	-1.60230036E+01	-1.56800481E+01	-1.48314147E+01	-1.45566049E+01	-1.40002688E+01	
-1.90000000E+01	-1.41723370E+01	-1.76481511E+01	-1.64294451E+01	-1.60791035E+01	-1.52128798E+01	-1.49307420E+01	-1.43656138E+01	
