Far field
"Plane Wave Phi"[deg]	"1Blade_SEP_lam8_Carbide [dBsm]"	"1Blade_SEP_lam16_Carbide [dBsm]"	"1Blade_SEP_lam20_Carbide [dBsm]"	"1Blade_SEP_lam25_Carbide [dBsm]"	"1Blade_SEP_lam32_Carbide [dBsm]"	"1Blade_SEP_lam40_Carbide [dBsm]"	
-6.20000000E+01	-5.36031957E+01	-5.68989894E+01	-5.59814326E+01	-5.69313631E+01	-5.72023436E+01	-5.71933401E+01	
-6.10000000E+01	-5.34595873E+01	-5.72712228E+01	-5.57778744E+01	-5.67900810E+01	-5.73296720E+01	-5.73882561E+01	
-6.00000000E+01	-5.31439420E+01	-5.64809402E+01	-5.50811273E+01	-5.59255844E+01	-5.65015665E+01	-5.65184985E+01	
-5.90000000E+01	-5.26458039E+01	-5.48769099E+01	-5.40181196E+01	-5.45878553E+01	-5.50249563E+01	-5.49456687E+01	
-5.80000000E+01	-5.19864159E+01	-5.30506116E+01	-5.27765973E+01	-5.30887827E+01	-5.33463698E+01	-5.31827370E+01	
-5.70000000E+01	-5.12125215E+01	-5.13150750E+01	-5.15065624E+01	-5.16214161E+01	-5.17269097E+01	-5.15059106E+01	
-5.60000000E+01	-5.03805812E+01	-4.97700499E+01	-5.02951936E+01	-5.02706557E+01	-5.02610894E+01	-5.00036022E+01	
-5.50000000E+01	-4.95411842E+01	-4.84246580E+01	-4.91842008E+01	-4.90640145E+01	-4.89696056E+01	-4.86889920E+01	
-5.40000000E+01	-4.87326239E+01	-4.72645294E+01	-4.81895356E+01	-4.80034718E+01	-4.78464806E+01	-4.75509282E+01	
-5.30000000E+01	-4.79804855E+01	-4.62702193E+01	-4.73133056E+01	-4.70817480E+01	-4.68776766E+01	-4.65724265E+01	
-5.20000000E+01	-4.73000395E+01	-4.54234485E+01	-4.65531732E+01	-4.62895216E+01	-4.60492787E+01	-4.57371734E+01	
-5.10000000E+01	-4.66993581E+01	-4.47080236E+01	-4.59038128E+01	-4.56168516E+01	-4.53476955E+01	-4.50307586E+01	
-5.00000000E+01	-4.61818732E+01	-4.41114915E+01	-4.53590137E+01	-4.50550044E+01	-4.47622482E+01	-4.44415242E+01	
-4.90000000E+01	-4.57480532E+01	-4.36230542E+01	-4.49128791E+01	-4.45958686E+01	-4.42833627E+01	-4.39592969E+01	
-4.80000000E+01	-4.53968534E+01	-4.32341329E+01	-4.45596937E+01	-4.42329973E+01	-4.39030767E+01	-4.35760582E+01	
-4.70000000E+01	-4.51263242E+01	-4.29376534E+01	-4.42952218E+01	-4.39601464E+01	-4.36147300E+01	-4.32844645E+01	
-4.60000000E+01	-4.49339205E+01	-4.27275936E+01	-4.41144085E+01	-4.37727674E+01	-4.34132278E+01	-4.30794427E+01	
-4.50000000E+01	-4.48172574E+01	-4.25992042E+01	-4.40138126E+01	-4.36667570E+01	-4.32931319E+01	-4.29562401E+01	
-4.40000000E+01	-4.47736670E+01	-4.25483607E+01	-4.39902532E+01	-4.36386394E+01	-4.32515774E+01	-4.29107369E+01	
-4.30000000E+01	-4.48009124E+01	-4.25721067E+01	-4.40415979E+01	-4.36855135E+01	-4.32852839E+01	-4.29400035E+01	
-4.20000000E+01	-4.48969267E+01	-4.26676440E+01	-4.41650935E+01	-4.38055991E+01	-4.33917193E+01	-4.30417101E+01	
