Far field
"Plane Wave Phi"[deg]	"2Blades_SEP_lam80_Carbide [dBsm]"	"2Blades_SEP_lam8_Carbide [dBsm]"	"2Blades_SEP_lam16_Carbide [dBsm]"	"2Blades_SEP_lam20_Carbide [dBsm]"	"2Blades_SEP_lam32_Carbide [dBsm]"	"2Blades_SEP_lam40_Carbide [dBsm]"	"2Blades_SEP_lam64_Carbide [dBsm]"	
-7.20000000E+01	-4.40237060E+01	-4.44228314E+01	-4.49375996E+01	-4.48570001E+01	-4.44607529E+01	-4.43852933E+01	-4.41290270E+01	
-7.10000000E+01	-4.32294402E+01	-4.30388372E+01	-4.35146951E+01	-4.34894929E+01	-4.34172950E+01	-4.34269303E+01	-4.32963535E+01	
-7.00000000E+01	-4.21836480E+01	-4.19068919E+01	-4.22897478E+01	-4.22585383E+01	-4.23094079E+01	-4.23350256E+01	-4.22377913E+01	
-6.90000000E+01	-4.11418662E+01	-4.10153919E+01	-4.13027709E+01	-4.12405850E+01	-4.13076140E+01	-4.13147791E+01	-4.11989988E+01	
-6.80000000E+01	-4.02266470E+01	-4.03278929E+01	-4.05321495E+01	-4.04325602E+01	-4.04690754E+01	-4.04441978E+01	-4.02921070E+01	
-6.70000000E+01	-3.94786710E+01	-3.98109182E+01	-3.99470054E+01	-3.98121299E+01	-3.98022477E+01	-3.97442378E+01	-3.95540458E+01	
-6.60000000E+01	-3.89084815E+01	-3.94399717E+01	-3.95232251E+01	-3.93590645E+01	-3.93034728E+01	-3.92156515E+01	-3.89927939E+01	
-6.50000000E+01	-3.85169346E+01	-3.92013246E+01	-3.92444326E+01	-3.90593948E+01	-3.89660610E+01	-3.88543268E+01	-3.86078341E+01	
-6.40000000E+01	-3.83016114E+01	-3.90888292E+01	-3.91025771E+01	-3.89060223E+01	-3.87856081E+01	-3.86569158E+01	-3.83959389E+01	
-6.30000000E+01	-3.82575254E+01	-3.91008115E+01	-3.90936601E+01	-3.88952498E+01	-3.87594096E+01	-3.86201684E+01	-3.83539511E+01	
-6.20000000E+01	-3.83816003E+01	-3.92376238E+01	-3.92157294E+01	-3.90248322E+01	-3.88841281E+01	-3.87407771E+01	-3.84781229E+01	
-6.10000000E+01	-3.86678991E+01	-3.94978096E+01	-3.94651408E+01	-3.92902970E+01	-3.91541906E+01	-3.90130182E+01	-3.87609960E+01	
